,Unnamed: 0.1,Unnamed: 0,PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl
427,1257,1257,023VO,8/1kp5/p6R/5p2/1Pr4p/P3BP1P/1b2K1P1/8 w - - 1 40,e2d3 c4c3 d3d2 c3e3,1486,74,90,1087,advantage endgame short,https://lichess.org/OwR67sy3#79
430,1263,1263,0240M,4k1r1/1p4NR/p7/P2pPP2/1r4p1/8/6K1/8 b - - 0 40,e8d8 f5f6 d8c8 f6f7 g8f8 g7e6,2450,81,84,117,advancedPawn crushing endgame long,https://lichess.org/7v5tGe1K/black#80
433,1272,1272,024qM,r1q2rk1/2p3p1/pbp2n2/7P/7B/2N2Q1N/PP3P2/R2R2K1 w - - 0 24,g1h2 f6g4 h2g2 f8f3,1128,82,92,93,crushing discoveredAttack middlegame short,https://lichess.org/C98IYThi#47
435,1275,1275,0251J,b3Q3/6k1/2p5/6p1/3p1qrp/1P1R1N2/P4P1K/2R5 w - - 2 38,h2h3 g4g3 h3h2 g3f3 h2g1 f4c1,1882,106,-30,30,crushing discoveredAttack exposedKing long middlegame,https://lichess.org/w25YxVgp#75
438,1286,1286,2684,8/5kp1/p1r2n2/2p2N2/P1RB1n1p/7P/6P1/6K1 w - - 8 40,f5h4 f4e2 g1f2 e2d4,836,99,92,134,crushing endgame short,https://lichess.org/lk8YmYYC#79
442,1294,1294,026sh,3r4/Qpk5/p1p2p2/8/3rb1Pp/5q1p/PP3P1B/2R1R1K1 b - - 0 32,c7d7 a7d4 e4d5 d4d5,2472,76,95,554,advantage hangingPiece middlegame short,https://lichess.org/YZ6mzi2J/black#64
444,1298,1298,027Il,r2qr1k1/1bpn1p1p/1p1p1p2/3N1P1Q/4PR2/1P6/PP4PP/R5K1 b - - 4 20,d7f8 f4g4 f8g6 f5g6 f7g6 g4g6 h7g6 h5g6,1703,74,92,1360,crushing kingsideAttack middlegame veryLong,https://lichess.org/TgXP9WoA/black#40
446,1306,1306,027yQ,8/1pk3p1/5p2/2PppPn1/1P4Pp/4P2P/2K5/5B2 w - - 0 29,b4b5 g5e4 f1g2 e4c5 g2d5 c7b6,1500,500,100,2,crushing endgame long,https://lichess.org/T3BFObE9#57
448,1314,1314,028pN,2r5/6pk/5p1p/5P2/3P1P1N/bP4P1/P2q3P/1K1R4 w - - 0 41,d1d2 c8c1,683,107,94,655,endgame mate mateIn1 oneMove,https://lichess.org/z2jQMy7h#81
450,1320,1320,2999,4r1k1/6b1/p5pp/Bp3p2/4p3/2N2nP1/P4PBP/3R3K w - - 0 34,d1d8 e8d8 a5d8 g7c3,1031,110,85,22,advantage middlegame short,https://lichess.org/lhDspXdi#67
460,1346,1346,02CIw,4K3/4P3/6k1/1R6/5r2/p7/8/8 b - - 0 67,f4a4 e8f8 a4f4 f8g8,2139,88,74,29,crushing defensiveMove endgame rookEndgame short,https://lichess.org/03gYffNn/black#134
463,1355,1355,02D5t,4r1k1/p1p3pp/2Q5/8/1q6/3r3P/PB4P1/2R4K b - - 0 31,e8d8 c6e6 g8h8 b2g7 h8g7 c1c7 d3d7 c7d7 d8d7 e6d7,1906,78,91,43,advantage attraction endgame veryLong,https://lichess.org/Cezdw21w/black#62
465,1365,1365,02EV3,2r3r1/p2k3p/3pbQ2/6p1/8/5B2/q1p2PPP/2R1R1K1 w - - 0 27,f6e6 a2e6 e1e6 d7e6,1500,500,100,1,crushing middlegame short,https://lichess.org/umPHfOMM#53
479,1417,1417,02Jyd,4rk2/5p2/3R4/3P2R1/2p1r2p/2P4P/5KP1/8 w - - 0 34,d6c6 e4f4 f2g1 e8e1 g1h2 f4f1 c6c8 f8e7 g5e5 e1e5,1986,75,91,1034,crushing endgame quietMove rookEndgame veryLong,https://lichess.org/S1e5lzGu#67
480,1421,1421,02Klg,r5k1/p2bbppp/1p2p3/N2p4/1P2rB2/2P1P3/1P3PPP/R2R2K1 w - - 0 20,f2f3 e4f4 e3f4 b6a5,1564,76,81,719,advantage master middlegame short,https://lichess.org/BHrg2N7h#39
485,1447,1447,02Mby,3k4/pQ6/2p2p2/2Pqp3/8/6P1/5PKP/8 w - - 1 35,g2h3 d5d7 b7d7 d8d7 h3g4 a7a5,1895,77,97,144,crushing defensiveMove endgame long queenEndgame,https://lichess.org/5tryfihO#69
490,1463,1463,02O8w,2r2rk1/5pp1/p5np/b2p4/3P4/Pq1BPN2/1PR2QPP/3R2K1 w - - 6 26,c2c8 b3d1 f2f1 d1f1 g1f1 f8c8,1384,74,96,13094,advantage fork hangingPiece long middlegame,https://lichess.org/9x0LEN6h#51
494,1469,1469,02OnY,1rr3k1/4Rpbp/6p1/2P1p3/PPP5/5PP1/5PK1/1R6 b - - 0 33,c8c5 b4c5 b8b1 e7e8 g7f8 c5c6 b1c1 c6c7,2318,78,90,1615,advancedPawn crushing endgame veryLong,https://lichess.org/AO2PzZEl/black#66
495,1475,1475,02Oxp,3q1rk1/p5pp/1p6/2rb1p2/2B1pP2/1Q6/P5PP/2RR2K1 b - - 1 23,d5c4 c1c4 d8d1 b3d1 c5c4 d1d5,2094,76,94,793,crushing long middlegame,https://lichess.org/0IRcgUCX/black#46
499,1479,1479,02PDC,8/8/6pp/4k3/1R3n2/1Nn4P/5K2/8 w - - 2 46,h3h4 f4d3 f2f3 d3b4,1191,77,77,174,crushing endgame fork short,https://lichess.org/pun6359s#91
518,1565,1565,02ZFk,3Q1k2/8/8/2P5/1n5P/5q2/5P2/6K1 b - - 2 51,f8g7 d8d4 g7f7 d4b4,1472,180,100,27,crushing endgame fork short,https://lichess.org/yiGgg6Gr/black#102
521,1583,1583,02b7o,6k1/3n2pp/p4p2/2q1p3/3p4/PQ1P3P/1B3PP1/6K1 b - - 3 29,g8f8 a3a4 f8e7 b2a3,1769,75,74,136,clearance crushing endgame pin quietMove short,https://lichess.org/d9XtpOvR/black#58
523,1591,1591,02bsO,1kr5/ppQ4b/8/8/3P4/3q3P/PP4P1/K1R2R2 b - - 0 28,c8c7 f1f8 c7c8 c1c8,800,103,88,330,endgame mate mateIn2 short,https://lichess.org/RJXSv13v/black#56
525,1593,1593,02bz5,4r1k1/6p1/p3p3/1p1q1p2/2p1nP2/2P1PQ2/PPR4P/4B1K1 b - - 0 31,e4c3 f3h5 d5d1 h5e8,1905,85,79,36,advantage endgame short,https://lichess.org/pus6AIfw/black#62
529,1609,1609,02dPT,1r4k1/p4pp1/1p3b1p/3Q1B2/5p2/2q4P/P4PP1/3R2K1 b - - 1 31,b8d8 d5d8 f6d8 d1d8,675,103,86,460,endgame mate mateIn2 short,https://lichess.org/08aPUoEq/black#62
530,1610,1610,02dUE,2k1r2r/ppq2p2/2pb4/2p2P1p/4P2P/1PQ1RpP1/P1P2P2/R1B3K1 w - - 0 23,e3f3 d6e5 c3e1 e5a1,1473,73,96,14686,advantage middlegame short skewer,https://lichess.org/5ClxWaaz#45
532,1616,1616,02eFQ,8/1p3qk1/p1p3p1/P2b4/3P1r2/6QP/2B3P1/4R1K1 w - - 4 36,e1e7 f4f1 g1h2 f7e7,1153,75,94,3345,crushing endgame master masterVsMaster short,https://lichess.org/MVd65Pun#71
537,1624,1624,02exE,1r6/4R3/3k4/8/1R1p3r/p2P4/P1P5/BK6 w - - 3 41,b4b8 h4h1 e7e1 h1e1,751,90,74,347,endgame mate mateIn2 short,https://lichess.org/RX9hXndi#81
543,1652,1652,02hgA,8/p1k1bp2/1p2p1pp/4PP2/2p1K1P1/P1P1B3/1P4P1/8 b - - 0 30,e6f5 g4f5 g6f5 e4f5 h6h5 e5e6 f7e6 f5e6,2405,77,100,96,bishopEndgame crushing endgame veryLong,https://lichess.org/Q3FMCmtd/black#60
549,1674,1674,02kCY,8/8/8/7p/p1b5/P5kP/2p3P1/2B3K1 b - - 7 46,g3h4 g1h2 c4f1 g2g3,1507,77,96,16172,bishopEndgame endgame mate mateIn2 short,https://lichess.org/wqBVso2E/black#92
551,1681,1681,02kqG,8/7p/3Q1pnk/8/3N4/4p1P1/5PKP/3q4 b - - 3 42,h6h5 d6d7 g6h4 g3h4 d1g4 d7g4,2642,89,65,63,crushing endgame long,https://lichess.org/LhEuTBDq/black#84
553,1691,1691,02lUz,r1r3k1/1p3ppp/2q1pn2/1N5P/P7/1P4Q1/2P2PP1/2KR3R w - - 1 21,d1d2 f6e4 g3e3 e4d2,1099,77,93,1045,advantage fork middlegame short,https://lichess.org/mbtBqygR#41
554,1696,1696,02meJ,5k2/3Q4/p6p/2P4P/P2P2KP/5p2/5Pb1/7r w - - 3 41,c5c6 g2h3 g4f3 h3d7 c6d7 f8e7 d7d8r e7d8,1374,78,76,219,crushing endgame master skewer veryLong,https://lichess.org/A4fUdHcm#81
559,1716,1716,02pAU,2r3k1/1p3p1p/pq3Bp1/3bPp2/3P3Q/6R1/Pr4PP/6RK b - - 3 27,b6b4 h4h7 g8h7 g3h3 h7g8 h3h8,2016,83,85,74,attraction kingsideAttack long master mate mateIn3 middlegame sacrifice,https://lichess.org/MxqJ2b1a/black#54
560,1718,1718,02pPh,6k1/3n1pp1/1r2p1p1/6P1/P1Qp1q2/1P3B1P/5K2/1R5R w - - 0 28,b1d1 d7e5 c4d4 f4f3,1782,75,78,108,crushing middlegame short,https://lichess.org/hSgHKth4#55
565,1731,1731,02qNU,5Qkr/p4p2/1q2pPp1/4P1p1/3p2N1/7P/PP3PK1/2R5 b - - 0 28,g8f8 c1c8 b6d8 c8d8,628,100,75,222,endgame mate mateIn2 short,https://lichess.org/J2sKo1sM/black#56
572,1754,1754,02sYm,8/8/4pk1p/ppr2pp1/3R4/P1P2PP1/1P2K2P/8 b - - 0 35,c5d5 d4d5 e6d5 e2e3 f6e5 f3f4,2311,169,90,8,crushing endgame long rookEndgame,https://lichess.org/VthbiXBS/black#70
578,1787,1787,02wQo,2k1r3/1pp2pQp/p1p2P2/8/5q2/2Prb3/PP2RPPP/R5K1 w - - 0 20,e2e3 d3e3 f2e3 f4e3,1793,175,100,17,crushing endgame kingsideAttack short,https://lichess.org/cFks0KPU#39
